sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,display_product_options_in,map_price,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,is_in_stock,website_id,color,size
KAN-AP-19FW01-2,Default,simple,Default Category/DRESSES,base,THREAD TEXTURE DRESS_Navy_M-L,"Oversized dress with thread texture hand embroidery. Relaxed fit with full sleeves and a button placket on the back. 

-Handspun Khadi 
-Gathered Skirt
-Slightly Oversized Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash only in cold water.
Model is 5'8"" and is wearing a Small-Medium size. Dress length is 40""/102cms.                    
Shipping: This product is expected to be shipped within 4-5 days. ",Oversized dress with thread texture hand embroidery.                             See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",12800,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Navy,M-L
KAN-AP-19FW02-2,Default,simple,Default Category/TOPS-TUNICS,base,POLKA EMBROIDERED CHECKARD TOP_Navy_M,"Sheer top with zari self checks and hand embroidered polka dots. Ruffled collar and hemline. A perfect top for winter layering.

-Chanderi with Zari
-Relaxed Fit                                                                                                                                                           -Long Full Sleeves
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean only.
Model is 5'8"" and is wearing a Small size. Top length is 26""/66cms.
Shipping: This product is expected to be shipped within 4-5 days. ",Sheer top with zari self checks and hand embroidered polka dots. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",8500,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",2,0,0,1,Navy,M
KAN-AP-19FW02-3,Default,simple,Default Category/TOPS-TUNICS,base,POLKA EMBROIDERED CHECKARD TOP_Navy_L,"Sheer top with zari self checks and hand embroidered polka dots. Ruffled collar and hemline. A perfect top for winter layering.

-Chanderi with Zari
-Relaxed Fit                                                                                                                                                           -Long Full Sleeves
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean only.
Model is 5'8"" and is wearing a Small size. Top length is 26""/66cms.
Shipping: This product is expected to be shipped within 4-5 days. ",Sheer top with zari self checks and hand embroidered polka dots. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",8500,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Navy,L
KAN-AP-19FW03-2,Default,simple,Default Category/TOPS-TUNICS,base,CHECKARD DUAL SLEEVE SHIRT_Yellow _M-L,"Dual sleeve shirt with checkard pattern. Button and draw string detail on the cuff. Full placket with side slits.

-Handmade Cotton
-Relaxed Fit                                                                                                                                                           -Mid Length
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash only in cold water.
Model is 5'8"" and is wearing a Small-Medium size. Shirt length is 47""/119cms. 
Shipping: This product is expected to be shipped within 4-5 days. """,Dual sleeve shirt with checkard pattern. Button and draw string detail on the cuff. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",8200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Yellow,M-L
KAN-AP-19FW03-3,Default,simple,Default Category/TOPS-TUNICS,base,CHECKARD DUAL SLEEVE SHIRT_ Black_S-M,"Dual sleeve shirt with checkard pattern. Button and draw string detail on the cuff. Full placket with side slits.

-Handmade Cotton
-Relaxed Fit                                                                                                                                                           -Mid Length
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash only in cold water.
Model is 5'8"" and is wearing a Small-Medium size. Shirt length is 47""/119cms. 
Shipping: This product is expected to be shipped within 4-5 days. """,Dual sleeve shirt with checkard pattern. Button and draw string detail on the cuff. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",8200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Black,S-M
KAN-AP-19FW03-4,Default,simple,Default Category/TOPS-TUNICS,base,CHECKARD DUAL SLEEVE SHIRT_ Black_M-L,"Dual sleeve shirt with checkard pattern. Button and draw string detail on the cuff. Full placket with side slits.

-Handmade Cotton
-Relaxed Fit                                                                                                                                                           -Mid Length
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash only in cold water.
Model is 5'8"" and is wearing a Small-Medium size. Shirt length is 47""/119cms. 
Shipping: This product is expected to be shipped within 4-5 days. """,Dual sleeve shirt with checkard pattern. Button and draw string detail on the cuff. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",8200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Black,M-L
KAN-AP-19FW04-2,Default,simple,Default Category/TOPS-TUNICS,base,EMBROIDERED KNITTED TOP_Black_M-L,"Knitted top with floral hand embroidery in the front.

-Merino Wool
-Straight Fit                                                                                                                                                           -Sleeveless
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean only.
Model is 5'8"" and is wearing a Small-Medium size. Sweater length is 26""/66cms.
Shipping: This product is expected to be shipped within 6-7 days. ",Knitted top with floral hand embroidery in the front. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",9700,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",1,0,0,1,Black,M-L
KAN-AP-19FW05-2,Default,simple,Default Category/TOPS-TUNICS,base,TWO TONE CHECKARD FRILL TOP_Yellow _M-L,"Two tone top with checkard pattern. Frill detail on the lower panel. Dramatic long sleeves with draw stings.

-Handspun Khadi and Cotton
-Oversized Fit                                                                                                                                                           -Full Sleeve
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash only in cold water.
Model is 5'8"" and is wearing a Small-Medium size. Top length is 25""/63cms  front & 30""/76cms back.
Shipping: This product is expected to be shipped within 4-5 days. ",Two tone top with checkard pattern. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",7200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Yellow,M-L
KAN-AP-19FW05-3,Default,simple,Default Category/TOPS-TUNICS,base,TWO TONE CHECKARD FRILL TOP_ Black_S-M,"Two tone top with checkard pattern. Frill detail on the lower panel. Dramatic long sleeves with draw stings.

-Handspun Khadi and Cotton
-Oversized Fit                                                                                                                                                           -Full Sleeve
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash only in cold water.
Model is 5'8"" and is wearing a Small-Medium size. Top length is 25""/63cms  front & 30""/76cms back.
Shipping: This product is expected to be shipped within 4-5 days. ",Two tone top with checkard pattern. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",7200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",1,0,0,1,Black,S-M
KAN-AP-19FW05-4,Default,simple,Default Category/TOPS-TUNICS,base,TWO TONE CHECKARD FRILL TOP_ Black_M-L,"Two tone top with checkard pattern. Frill detail on the lower panel. Dramatic long sleeves with draw stings.

-Handspun Khadi and Cotton
-Oversized Fit                                                                                                                                                           -Full Sleeve
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash only in cold water.
Model is 5'8"" and is wearing a Small-Medium size. Top length is 25""/63cms  front & 30""/76cms back.
Shipping: This product is expected to be shipped within 4-5 days. ",Two tone top with checkard pattern. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",7200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Black,M-L
KAN-AP-19FW06-2,Default,simple,Default Category/DRESSES,base,SHEER EMBROIDERED DRESS_Black_M,"Sheer dress with hand embroidered floral motifs. A high neck and side slits.

-Organza
-Straight Fit                                                                                                                                                           -Sleeveless
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean only.
Model is 5'8"" and is wearing a Small size. Dress length is 48""/122cms.
Shipping: This product is expected to be shipped within 6-7 days. ",Sheer dress with hand embroidered floral motifs. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",8600,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",1,0,0,1,Black,M
KAN-AP-19FW06-3,Default,simple,Default Category/DRESSES,base,SHEER EMBROIDERED DRESS_Black_L,"Sheer dress with hand embroidered floral motifs. A high neck and side slits.

-Organza
-Straight Fit                                                                                                                                                           -Sleeveless
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean only.
Model is 5'8"" and is wearing a Small size. Dress length is 48""/122cms.
Shipping: This product is expected to be shipped within 6-7 days. ",Sheer dress with hand embroidered floral motifs. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",8600,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Black,L
KAN-AP-19FW07-2,Default,simple,Default Category/TOPS-TUNICS,base,FRONT OPEN PEEK-A-BOO SHIRT_Black_M,"Sheer and opaque front open button down shirt with cut work and hand embroidered floral motifs.

-Cotton Slub and Organza
-Relaxed Fit                                                                                                                                                           -Full Sleeve
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean only.
Model is 5'8"" and is wearing a Small size. Shirt length is front 40""/101cms and back 42""/106cms.
Shipping: This product is expected to be shipped within 4-5 days. ",Sheer and opaque front open button down shirt with cut work and hand embroidered floral motifs. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",13300,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",1,0,0,1,Black,M
KAN-AP-19FW07-3,Default,simple,Default Category/TOPS-TUNICS,base,FRONT OPEN PEEK-A-BOO SHIRT_Black_L,"Sheer and opaque front open button down shirt with cut work and hand embroidered floral motifs.

-Cotton Slub and Organza
-Relaxed Fit                                                                                                                                                           -Full Sleeve
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean only.
Model is 5'8"" and is wearing a Small size. Shirt length is front 40""/101cms and back 42""/106cms.
Shipping: This product is expected to be shipped within 4-5 days. ",Sheer and opaque front open button down shirt with cut work and hand embroidered floral motifs. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",13300,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Black,L
KAN-AP-19FW08-2,Default,simple,Default Category/OUTERWEAR,base,BOMBER JACKET_Fawn_M-L,"Bomber Jacket made in merino wool. Lining is quilted with contrast stitch lines.

-Merino Wool
-Relaxed Fit                                                                                                                                                           -Side Pockets
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean only.
Model is 5'8"" and is wearing a Small-Medium size. Jacket length is 26""/66cms.
Shipping: This product is expected to be shipped within 4-5 days. ",Bomber Jacket with quilted lining and pintucked cuffs and collar.See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",13800,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Fawn,M-L
KAN-AP-19FW09-2,Default,simple,Default Category/TOPS-TUNICS,base,DETACHABLE FRILL SLEEVE TOP_Yellow _M,"Top with checkard pattern. Frill detail on the collar and sleeves. Frills on  sleeves are detachable. 

-Handmade Cotton
-Straight Fit                                                                                                                                                           -Detachable Sleeve
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash only in cold water.
Model is 5'8"" and is wearing a Small size. Top length is 26""/66cms.
Shipping: This product is expected to be shipped within 4-5 days. ",Top with checkard pattern and detachable frills on sleeves. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",6200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",Sold Out,0,0,1,Yellow,M
KAN-AP-19FW09-3,Default,simple,Default Category/TOPS-TUNICS,base,DETACHABLE FRILL SLEEVE TOP_Yellow _L,"Top with checkard pattern. Frill detail on the collar and sleeves. Frills on  sleeves are detachable. 

-Handmade Cotton
-Straight Fit                                                                                                                                                           -Detachable Sleeve
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash only in cold water.
Model is 5'8"" and is wearing a Small size. Top length is 26""/66cms.
Shipping: This product is expected to be shipped within 4-5 days. ",Top with checkard pattern and detachable frills on sleeves. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",6200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",Sold Out,0,0,1,Yellow,L
KAN-AP-19FW09-4,Default,simple,Default Category/TOPS-TUNICS,base,DETACHABLE FRILL SLEEVE TOP_ Black_S,"Top with checkard pattern. Frill detail on the collar and sleeves. Frills on  sleeves are detachable. 

-Handmade Cotton
-Straight Fit                                                                                                                                                           -Detachable Sleeve
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash only in cold water.
Model is 5'8"" and is wearing a Small size. Top length is 26""/66cms.
Shipping: This product is expected to be shipped within 4-5 days. ",Top with checkard pattern and detachable frills on sleeves. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",6200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",Sold Out,0,0,1,Black,S
KAN-AP-19FW09-5,Default,simple,Default Category/TOPS-TUNICS,base,DETACHABLE FRILL SLEEVE TOP_ Black_M,"Top with checkard pattern. Frill detail on the collar and sleeves. Frills on  sleeves are detachable. 

-Handmade Cotton
-Straight Fit                                                                                                                                                           -Detachable Sleeve
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash only in cold water.
Model is 5'8"" and is wearing a Small size. Top length is 26""/66cms.
Shipping: This product is expected to be shipped within 4-5 days. ",Top with checkard pattern and detachable frills on sleeves. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",6200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",Sold Out,0,0,1,Black,M
KAN-AP-19FW09-6,Default,simple,Default Category/TOPS-TUNICS,base,DETACHABLE FRILL SLEEVE TOP_ Black_L,"Top with checkard pattern. Frill detail on the collar and sleeves. Frills on  sleeves are detachable. 

-Handmade Cotton
-Straight Fit                                                                                                                                                           -Detachable Sleeve
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Soft Hand Wash only in cold water.
Model is 5'8"" and is wearing a Small size. Top length is 26""/66cms.
Shipping: This product is expected to be shipped within 4-5 days. ",Top with checkard pattern and detachable frills on sleeves. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",6200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",Sold Out,0,0,1,Black,L
KAN-AP-19FW10-2,Default,simple,Default Category/BOTTOMS,base,SIDE DRAPE SKIRT_Fawn_M,"Knee length skirt with side drape and thread fray detail. Waist band with side opening zipper.

-Khadi Silk
-Asymmetric Skirt                                                                    
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean only.
Model is 5'8"" and is wearing a Small size. Skirt length is 30""/76cms.
Shipping: This product is expected to be shipped within 4-5 days. ",Knee length skirt with side drape and thread fray detail. See below for detailed description.,1,1,Taxable Goods,"Catalog, Search",7000,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",1,0,0,1,Fawn,M
