sku,base_image,small_image,thumbnail_image,errors
KAN-AP-20S01,KAN-AP-20S01.jpg,KAN-AP-20S01.jpg,KAN-AP-20S01.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S01-2,KAN-AP-20S01.jpg,KAN-AP-20S01.jpg,KAN-AP-20S01.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S01-3,KAN-AP-20S01.jpg,KAN-AP-20S01.jpg,KAN-AP-20S01.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S02,KAN-AP-20S02.jpg,KAN-AP-20S02.jpg,KAN-AP-20S02.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S02-2,KAN-AP-20S02.jpg,KAN-AP-20S02.jpg,KAN-AP-20S02.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S02-3,KAN-AP-20S02.jpg,KAN-AP-20S02.jpg,KAN-AP-20S02.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S03,KAN-AP-20S03.jpg,KAN-AP-20S03.jpg,KAN-AP-20S03.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S03-2,KAN-AP-20S03.jpg,KAN-AP-20S03.jpg,KAN-AP-20S03.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S03-3,KAN-AP-20S03.jpg,KAN-AP-20S03.jpg,KAN-AP-20S03.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S04,KAN-AP-20S04.jpg,KAN-AP-20S04.jpg,KAN-AP-20S04.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
KAN-AP-20S04-2,KAN-AP-20S04.jpg,KAN-AP-20S04.jpg,KAN-AP-20S04.jpg,"Imported resource (image) could not be downloaded from external resource due to timeout or access permissions"
