sku,categories
KAN-AP-19FW01-2,Default Category/shop/DRESSES
KAN-AP-19FW02-2,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW02-3,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW03-2,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW03-3,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW03-4,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW04-2,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW05-2,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW05-3,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW05-4,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW06-2,Default Category/shop/DRESSES
KAN-AP-19FW06-3,Default Category/shop/DRESSES
KAN-AP-19FW07-2,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW07-3,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW08-2,Default Category/shop/OUTERWEAR
KAN-AP-19FW09-2,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW09-3,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW09-4,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW09-5,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW09-6,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW10-2,Default Category/shop/BOTTOMS
KAN-AP-19FW10-3,Default Category/shop/BOTTOMS
KAN-AP-19FW11,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW11-2,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW11-3,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW12,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW12-2,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW13,Default Category/shop/BOTTOMS
KAN-AP-19FW13-2,Default Category/shop/BOTTOMS
KAN-AP-19FW13-3,Default Category/shop/BOTTOMS
KAN-AP-19FW14,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW14-2,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW14-3,Default Category/shop/TOPS-TUNICS
KAN-AP-19FW15,Default Category/shop/BOTTOMS
KAN-AP-19FW15-2,Default Category/shop/BOTTOMS
KAN-AP-19FW15-3,Default Category/shop/BOTTOMS
KAN-AP-19FW16,Default Category/shop/OUTERWEAR
KAN-AP-19FW16-2,Default Category/shop/OUTERWEAR
KAN-AP-19FW16-3,Default Category/shop/OUTERWEAR
KAN-AP-19FW17,Default Category/shop/DRESSES
KAN-AP-19FW17-2,Default Category/shop/DRESSES
KAN-AP-19FW17-3,Default Category/shop/DRESSES
KAN-AP-19FW18,Default Category/shop/BOTTOMS
