Processed,base_image,small_image,thumbnail_image,additional_images
KAN-AP-19FW01,19FW01(C)_KANELLEWOMENSDRESS.jpg,19FW01(C)_KANELLEWOMENSDRESS.jpg,19FW01(C)_KANELLEWOMENSDRESS.jpg,"19FW01(A)_KANELLEWOMENSDRESS.jpg,19FW01(B)_KANELLEWOMENSDRESS.jpg,19FW01(D)_KANELLEWOMENSDRESS.jpg"
KAN-AP-19FW02,19FW02(A)_KANELLEWOMENTOP.jpg,19FW02(A)_KANELLEWOMENTOP.jpg,19FW02(A)_KANELLEWOMENTOP.jpg,"19FW02(B)_KANELLEWOMENTOP.jpg,19FW02(C)_KANELLEWOMENTOP.jpg,19FW02(D)_KANELLEWOMENTOP.jpg"
KAN-AP-19FW03,19FW03(A)_KANELLEWOMENDRESS.jpg,19FW03(A)_KANELLEWOMENDRESS.jpg,19FW03(A)_KANELLEWOMENDRESS.jpg,"19FW03(B)_KANELLEWOMENDRESS.jpg,19FW03(C)_KANELLEWOMENDRESS.jpg,19FW03(D)_KANELLEWOMENDRESS.jpg"
KAN-AP-19FW04,19FW04(A)_KANELLEWOMENTOP.jpg,19FW04(A)_KANELLEWOMENTOP.jpg,19FW04(A)_KANELLEWOMENTOP.jpg,"19FW04(B)_KANELLEWOMENTOP.jpg,19FW04(C)_KANELLEWOMENTOP.jpg,19FW04(D)_KANELLEWOMENTOP.jpg"
KAN-AP-19FW05,19FW05(A)_KANELLEWOMENTOP.jpg,19FW05(A)_KANELLEWOMENTOP.jpg,19FW05(A)_KANELLEWOMENTOP.jpg,"19FW05(B)_KANELLEWOMENTOP.jpg,19FW05(C)_KANELLEWOMENTOP.jpg,19FW05(D)_KANELLEWOMENTOP.jpg"
KAN-AP-19FW06,19FW06(A)_KANELLEWOMENDRESS.jpg,19FW06(A)_KANELLEWOMENDRESS.jpg,19FW06(A)_KANELLEWOMENDRESS.jpg,"19FW06(B)_KANELLEWOMENDRESS.jpg,19FW06(C)_KANELLEWOMENDRESS.jpg"
KAN-AP-19FW07,19FW07(A)_KANELLEWOMENDRESS.jpg,19FW07(A)_KANELLEWOMENDRESS.jpg,19FW07(A)_KANELLEWOMENDRESS.jpg,"19FW07(B)_KANELLEWOMENDRESS.jpg,19FW07(C)_KANELLEWOMENDRESS.jpg,19FW07(D)_KANELLEWOMENDRESS.jpg"
KAN-AP-19FW08,19FW08(B)_KANELLEWOMENJACKET.jpg,19FW08(B)_KANELLEWOMENJACKET.jpg,19FW08(B)_KANELLEWOMENJACKET.jpg,"19FW08(A)_KANELLEWOMENJACKET.jpg,19FW08(C)_KANELLEWOMENJACKET.jpg,19FW08(D)_KANELLEWOMENJACKET.jpg"
KAN-AP-19FW09,19FW09(C)_KANELLEWOMENTOP.jpg,19FW09(C)_KANELLEWOMENTOP.jpg,19FW09(C)_KANELLEWOMENTOP.jpg,"19FW09(A)_KANELLEWOMENTOP.jpg,19FW09(B)_KANELLEWOMENTOP.jpg,19FW09(D)_KANELLEWOMENTOP.jpg"
KAN-AP-19FW10,19FW10(B)_KANELLEWOMENSKIRT.jpg,19FW10(B)_KANELLEWOMENSKIRT.jpg,19FW10(B)_KANELLEWOMENSKIRT.jpg,"19FW10(A)_KANELLEWOMENSKIRT.jpg,19FW10(C)_KANELLEWOMENSKIRT.jpg,19FW10(D)_KANELLEWOMENSKIRT.jpg"
KAN-AP-19FW11,19FW11(A)_KANELLEWOMENTOP.jpg,19FW11(A)_KANELLEWOMENTOP.jpg,19FW11(A)_KANELLEWOMENTOP.jpg,"19FW11(B)_KANELLEWOMENTOP.jpg,19FW11(C)_KANELLEWOMENTOP.jpg,19FW11(D)_KANELLEWOMENTOP.jpg"
KAN-AP-19FW12,19FW12(A)_KANELLEWOMENTOP.jpg,19FW12(A)_KANELLEWOMENTOP.jpg,19FW12(A)_KANELLEWOMENTOP.jpg,"19FW12(B)_KANELLEWOMENTOP.jpg,19FW12(C)_KANELLEWOMENTOP.jpg,19FW12(D)_KANELLEWOMENTOP.jpg"
KAN-AP-19FW13,19FW13(A)_KANELLEWOMENTROUSER.jpg,19FW13(A)_KANELLEWOMENTROUSER.jpg,19FW13(A)_KANELLEWOMENTROUSER.jpg,"19FW13(B)_KANELLEWOMENTROUSER.jpg,19FW13(C)_KANELLEWOMENTROUSER.jpg,19FW13(D)_KANELLEWOMENTROUSER.jpg"
KAN-AP-19FW14,19FW14(C)_KANELLEWOMENTOP.jpg,19FW14(C)_KANELLEWOMENTOP.jpg,19FW14(C)_KANELLEWOMENTOP.jpg,"19FW14(A)_KANELLEWOMENTOP.jpg,19FW14(B)_KANELLEWOMENTOP.jpg,19FW14(D)_KANELLEWOMENTOP.jpg"
KAN-AP-19FW15,19FW15(A)_KANELLEWOMENTROUSER.jpg,19FW15(A)_KANELLEWOMENTROUSER.jpg,19FW15(A)_KANELLEWOMENTROUSER.jpg,"19FW15(B)_KANELLEWOMENTROUSER.jpg,19FW15(C)_KANELLEWOMENTROUSER.jpg"
KAN-AP-19FW16,19FW16(A)_KANELLEWOMENJACKET.jpg,19FW16(A)_KANELLEWOMENJACKET.jpg,19FW16(A)_KANELLEWOMENJACKET.jpg,"19FW16(B)_KANELLEWOMENJACKET.jpg,19FW16(C)_KANELLEWOMENJACKET.jpg"
KAN-AP-19FW17,19FW17(A)_KANELLEWOMENSDRESS.jpg,19FW17(A)_KANELLEWOMENSDRESS.jpg,19FW17(A)_KANELLEWOMENSDRESS.jpg,"19FW17(C)_KANELLEWOMENSDRESS.jpg,19FW17(D)_KANELLEWOMENSDRESS.jpg,19FW17(E)_KANELLEWOMENSDRESS.jpg"
KAN-AP-19FW18,19FW18(A)_KANELLEWOMENTROUSER.jpg,19FW18(A)_KANELLEWOMENTROUSER.jpg,19FW18(A)_KANELLEWOMENTROUSER.jpg,"19FW18(B)_KANELLEWOMENTROUSER.jpg,19FW18(C)_KANELLEWOMENTROUSER.jpg"
KAN-AP-19FW19,19FW19(A)_KANELLEWOMENSKIRT.jpg,19FW19(A)_KANELLEWOMENSKIRT.jpg,19FW19(A)_KANELLEWOMENSKIRT.jpg,"19FW19(B)_KANELLEWOMENSKIRT.jpg,19FW19(C)_KANELLEWOMENSKIRT.jpg,19FW19(D)_KANELLEWOMENSKIRT.jpg"
KAN-AP-19FW20,19FW20(A)_KANELLEWOMENTOP.jpg,19FW20(A)_KANELLEWOMENTOP.jpg,19FW20(A)_KANELLEWOMENTOP.jpg,"19FW20(B)_KANELLEWOMENTOP.jpg,19FW20(C)_KANELLEWOMENTOP.jpg,19FW20(D)_KANELLEWOMENTOP.jpg"
KAN-AP-19FW21,19FW21(A)_KANELLEWOMENCOAT.jpg,19FW21(A)_KANELLEWOMENCOAT.jpg,19FW21(A)_KANELLEWOMENCOAT.jpg,"19FW21(C)_KANELLEWOMENCOAT.jpg,19FW21(D)_KANELLEWOMENCOAT.jpg,19FW21(E)_KANELLEWOMENCOAT.jpg"
KAN-AP-19FW22,19FW22(A)_KANELLEWOMENTROUSER.jpg,19FW22(A)_KANELLEWOMENTROUSER.jpg,19FW22(A)_KANELLEWOMENTROUSER.jpg,"19FW22(B)_KANELLEWOMENTROUSER.jpg,19FW22(C)_KANELLEWOMENTROUSER.jpg,19FW22(D)_KANELLEWOMENTROUSER.jpg"
KAN-AP-19FW24,19FW24(A)_KANELLEWOMENCOAT.jpg,19FW24(A)_KANELLEWOMENCOAT.jpg,19FW24(A)_KANELLEWOMENCOAT.jpg,"19FW24(B)_KANELLEWOMENCOAT.jpg,19FW24(C)_KANELLEWOMENCOAT.jpg,19FW24(D)_KANELLEWOMENCOAT.jpg"
KAN-AP-19FW25,19FW25(A)_KANELLEWOMENSDRESS.jpg,19FW25(A)_KANELLEWOMENSDRESS.jpg,19FW25(A)_KANELLEWOMENSDRESS.jpg,"19FW25(C)_KANELLEWOMENSDRESS.jpg,19FW25(D)_KANELLEWOMENSDRESS.jpg,19FW25(E)_KANELLEWOMENSDRESS.jpg"
KAN-AP-19FW26,19FW26(D)_KANELLEWOMENDRESS.jpg,19FW26(D)_KANELLEWOMENDRESS.jpg,19FW26(D)_KANELLEWOMENDRESS.jpg,"19FW26(A)_KANELLEWOMENDRESS.jpg,19FW26(B)_KANELLEWOMENDRESS.jpg,19FW26(C)_KANELLEWOMENDRESS.jpg"
KAN-AP-20RC01,20RC01-(A).jpg,20RC01-(A).jpg,20RC01-(A).jpg,"20RC01-(B).jpg,20RC01-(C).jpg,20RC01-(D).jpg"
