Processed,base_image,small_image,thumbnail_image,additional_images
KAN-AP-19FW01,image1.jpg,image1.jpg,image1.jpg,"image130.jpg,image259.jpg,image386.jpg"
KAN-AP-19FW02,image2.jpg,image2.jpg,image2.jpg,"image131.jpg,image260.jpg,image387.jpg"
KAN-AP-19FW03,image3.jpg,image3.jpg,image3.jpg,"image132.jpg,image261.jpg,image388.jpg"
KAN-AP-19FW04,image4.jpg,image4.jpg,image4.jpg,"image133.jpg,image262.jpg,image389.jpg"
KAN-AP-19FW05,image5.jpg,image5.jpg,image5.jpg,"image134.jpg,image263.jpg,image390.jpg"
KAN-AP-19FW06,image6.jpg,image6.jpg,image6.jpg,"image135.jpg,image264.jpg"
KAN-AP-19FW07,image7.jpg,image7.jpg,image7.jpg,"image136.jpg,image265.jpg,image391.jpg"
KAN-AP-19FW08,image8.jpg,image8.jpg,image8.jpg,"image137.jpg,image266.jpg,image392.jpg"
KAN-AP-19FW09,image9.jpg,image9.jpg,image9.jpg,"image138.jpg,image267.jpg,image393.jpg"
KAN-AP-19FW10,image10.jpg,image10.jpg,image10.jpg,"image139.jpg,image268.jpg,image394.jpg"
KAN-AP-19FW11,image11.jpg,image11.jpg,image11.jpg,"image140.jpg,image269.jpg,image395.jpg"
KAN-AP-19FW12,image12.jpg,image12.jpg,image12.jpg,"image141.jpg,image270.jpg,image396.jpg"
KAN-AP-19FW13,image13.jpg,image13.jpg,image13.jpg,"image142.jpg,image271.jpg,image397.jpg"
KAN-AP-19FW14,image14.jpg,image14.jpg,image14.jpg,"image143.jpg,image272.jpg,image398.jpg"
KAN-AP-19FW15,image15.jpg,image15.jpg,image15.jpg,"image144.jpg,image273.jpg"
KAN-AP-19FW16,image16.jpg,image16.jpg,image16.jpg,"image145.jpg,image274.jpg"
KAN-AP-19FW17,image17.jpg,image17.jpg,image17.jpg,"image146.jpg,image275.jpg,image399.jpg"
KAN-AP-19FW18,image18.jpg,image18.jpg,image18.jpg,"image147.jpg,image276.jpg"
KAN-AP-19FW19,image19.jpg,image19.jpg,image19.jpg,"image148.jpg,image277.jpg,image400.jpg"
KAN-AP-19FW20,image20.jpg,image20.jpg,image20.jpg,"image149.jpg,image278.jpg,image401.jpg"
