sku,visibility,errors
KAN-AP-19FW01-1,"Not Visible Individually",
KAN-AP-19FW01-2,"Not Visible Individually",
KAN-AP-19FW02-1,"Not Visible Individually","Product Type is invalid or not supported"
KAN-AP-19FW02-2,"Not Visible Individually",
KAN-AP-19FW02-3,"Not Visible Individually",
KAN-AP-19FW03-1,"Not Visible Individually",
KAN-AP-19FW03-2,"Not Visible Individually",
KAN-AP-19FW03-3,"Not Visible Individually",
KAN-AP-19FW03-4,"Not Visible Individually",
KAN-AP-19FW04-1,"Not Visible Individually",
KAN-AP-19FW04-2,"Not Visible Individually",
KAN-AP-19FW05-1,"Not Visible Individually",
KAN-AP-19FW05-2,"Not Visible Individually",
KAN-AP-19FW05-3,"Not Visible Individually",
KAN-AP-19FW05-4,"Not Visible Individually",
KAN-AP-19FW06-1,"Not Visible Individually","Product Type is invalid or not supported"
KAN-AP-19FW06-2,"Not Visible Individually",
KAN-AP-19FW06-3,"Not Visible Individually",
KAN-AP-19FW07-1,"Not Visible Individually","Product Type is invalid or not supported"
KAN-AP-19FW07-2,"Not Visible Individually",
KAN-AP-19FW07-3,"Not Visible Individually",
KAN-AP-19FW08-1,"Not Visible Individually",
KAN-AP-19FW08-2,"Not Visible Individually",
KAN-AP-19FW09-1,"Not Visible Individually",
KAN-AP-19FW09-2,"Not Visible Individually",
KAN-AP-19FW09-3,"Not Visible Individually",
KAN-AP-19FW09-4,"Not Visible Individually",
KAN-AP-19FW09-5,"Not Visible Individually",
KAN-AP-19FW09-6,"Not Visible Individually",
KAN-AP-19FW10-1,"Not Visible Individually",
KAN-AP-19FW10-2,"Not Visible Individually",
KAN-AP-19FW10-3,"Not Visible Individually",
KAN-AP-19FW11-1,"Not Visible Individually",
KAN-AP-19FW11-2,"Not Visible Individually",
KAN-AP-19FW11-3,"Not Visible Individually",
KAN-AP-19FW12-1,"Not Visible Individually",
KAN-AP-19FW12-2,"Not Visible Individually",
KAN-AP-19FW13-1,"Not Visible Individually",
