sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,display_product_options_in,map_price,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,is_in_stock,website_id,color,size,errors
KAN-AP-17S08_3,Default,simple,"Default Category/Shop/DRESSES",base,"MULTI LAYER PLEAT DRESS_MINT GREEN_S","Multi layer pleated dress with hand emboirdery detail on the shoulders. Easy to wear with round neck and key hole opening at the back. Lining is attached

-Handwoven Chanderi Silk 
-Full Sleeves                                                                                                                      -Relaxed  Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'9"" and is wearing a Small  size. Dress length is 42""/106cms.                    
Shipping: This product is expected to be shipped within 3-4 days. ","MULTI LAYER PLEATING & HAND EMBROIDERED KNOTS ON SHOULDERS. See below for detailed description.",1,1,"Taxable Goods","Catalog, Search",8100,3240,"Block after Info Column",,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,"Mint Green",S,
KAN-AP-17S08_2,Default,simple,"Default Category/Shop/DRESSES",base,"MULTI LAYER PLEAT DRESS_MINT GREEN_M","Multi layer pleated dress with hand emboirdery detail on the shoulders. Easy to wear with round neck and key hole opening at the back. Lining is attached

-Handwoven Chanderi Silk 
-Full Sleeves                                                                                                                      -Relaxed  Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'9"" and is wearing a Small  size. Dress length is 42""/106cms.                    
Shipping: This product is expected to be shipped within 3-4 days. ","MULTI LAYER PLEATING & HAND EMBROIDERED KNOTS ON SHOULDERS. See below for detailed description.",1,1,"Taxable Goods","Catalog, Search",8100,3240,"Block after Info Column",,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,"Mint Green",M,
KAN-AP-17S08_1,Default,simple,"Default Category/Shop/DRESSES",base,"MULTI LAYER PLEAT DRESS_MINT GREEN_L","Multi layer pleated dress with hand emboirdery detail on the shoulders. Easy to wear with round neck and key hole opening at the back. Lining is attached

-Handwoven Chanderi Silk 
-Full Sleeves                                                                                                                      -Relaxed  Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'9"" and is wearing a Small  size. Dress length is 42""/106cms.                    
Shipping: This product is expected to be shipped within 3-4 days. ","MULTI LAYER PLEATING & HAND EMBROIDERED KNOTS ON SHOULDERS. See below for detailed description.",1,1,"Taxable Goods","Catalog, Search",8100,3240,"Block after Info Column",,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,"Mint Green",L,
KAN-AP-17S14_3,Default,simple,"Default Category/Shop/TOPS-TUNICS",base,"PRINTED REVERSIBLE SHIRT_MINT GREEN_S","Multi print reversible shirt. Easy to wear with front opening. 

-Handwoven Chanderi Silk 
-Full Sleeves                                                                                                                      -Relaxed  Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry clean Only.
Model is 5'9"" and is wearing a Small  size.Top length is 28""/71cms.                    
Shipping: This product is expected to be shipped within 3-4 days. ","MULTI PRINT REVERSIBLE SHIRT. See below for detailed description.",1,1,"Taxable Goods","Catalog, Search",5300,2120,"Block after Info Column",,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,"Mint Green",S,
KAN-AP-17S14_2,Default,simple,"Default Category/Shop/TOPS-TUNICS",base,"PRINTED REVERSIBLE SHIRT_MINT GREEN_M","Multi print reversible shirt. Easy to wear with front opening. 

-Handwoven Chanderi Silk 
-Full Sleeves                                                                                                                      -Relaxed  Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry clean Only.
Model is 5'9"" and is wearing a Small  size.Top length is 28""/71cms.                    
Shipping: This product is expected to be shipped within 3-4 days. ","MULTI PRINT REVERSIBLE SHIRT. See below for detailed description.",1,1,"Taxable Goods","Catalog, Search",5300,2120,"Block after Info Column",,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,"Mint Green",M,
KAN-AP-17S14_1,Default,simple,"Default Category/Shop/TOPS-TUNICS",base,"PRINTED REVERSIBLE SHIRT_MINT GREEN_L","Multi print reversible shirt. Easy to wear with front opening. 

-Handwoven Chanderi Silk 
-Full Sleeves                                                                                                                      -Relaxed  Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry clean Only.
Model is 5'9"" and is wearing a Small  size.Top length is 28""/71cms.                    
Shipping: This product is expected to be shipped within 3-4 days. ","MULTI PRINT REVERSIBLE SHIRT. See below for detailed description.",1,1,"Taxable Goods","Catalog, Search",5300,2120,"Block after Info Column",,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,"Mint Green",L,
KAN-AP-17S15_3,Default,simple,"Default Category/Shop/TOPS-TUNICS",base,"FABRIC STRING TOP WITH CHAMPA BOOTI_YELLOW_S","Floral pattern top with fabric string buttons. Easy to wear with front opening. Lining is attached.

-Handwoven Chanderi Silk 
-Full Sleeves                                                                                                                      -Relaxed  Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry clean Only.
Model is 5'9"" and is wearing a Small  size. Top length is 32""/81cms.                    
Shipping: This product is expected to be shipped within 3-4 days. ","FLORAL PATTERN TOP WITH FABRIC STRING BUTTONS. See below for detailed description.",1,1,"Taxable Goods","Catalog, Search",5600,2240,"Block after Info Column",,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Yellow,S,
KAN-AP-17S15_2,Default,simple,"Default Category/Shop/TOPS-TUNICS",base,"FABRIC STRING TOP WITH CHAMPA BOOTI_YELLOW_M","Floral pattern top with fabric string buttons. Easy to wear with front opening. Lining is attached.

-Handwoven Chanderi Silk 
-Full Sleeves                                                                                                                      -Relaxed  Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry clean Only.
Model is 5'9"" and is wearing a Small  size. Top length is 32""/81cms.                    
Shipping: This product is expected to be shipped within 3-4 days. ","FLORAL PATTERN TOP WITH FABRIC STRING BUTTONS. See below for detailed description.",1,1,"Taxable Goods","Catalog, Search",5600,2240,"Block after Info Column",,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Yellow,M,
KAN-AP-17S15_1,Default,simple,"Default Category/Shop/TOPS-TUNICS",base,"FABRIC STRING TOP WITH CHAMPA BOOTI_YELLOW_L","Floral pattern top with fabric string buttons. Easy to wear with front opening. Lining is attached.

-Handwoven Chanderi Silk 
-Full Sleeves                                                                                                                      -Relaxed  Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry clean Only.
Model is 5'9"" and is wearing a Small  size. Top length is 32""/81cms.                    
Shipping: This product is expected to be shipped within 3-4 days. ","FLORAL PATTERN TOP WITH FABRIC STRING BUTTONS. See below for detailed description.",1,1,"Taxable Goods","Catalog, Search",5600,2240,"Block after Info Column",,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Yellow,L,
KAN-AP-17S19_1,Default,simple,"Default Category/Shop/TOPS-TUNICS",base,"KAFTAN TOP WITH PRINT INLAY AND HAND KNOTS_GREEN_ONE-SIZE","Kaftan top with floral print and hand embroidered knots. Easy to wear with key hole opening at the back.

-Handwoven Chanderi Silk with Zari
-Half Sleeves                                                                                                                      -Oversized  Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry clean Only.
Model is 5'9"" and is wearing a Small  size.Top length is 30""/76cms.                    
Shipping: This product is expected to be shipped within 4-5 days. ","KAFTAN TOP WITH FLORAL PRINT AND HAND EMBROIDERED KNOTS. See below for detailed description.",1,1,"Taxable Goods","Catalog, Search",5800,2320,"Block after Info Column",,"Use config",,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",1,0,0,1,Green,ONE-SIZE,"Value for 'size' attribute contains incorrect value, see acceptable values on settings specified for Admin"
