sku,base_image,small_image,thumbnail_image,additional_images
KAN-AP-19S03,19S03(A)KANELLE_WOMENS DRESS.jpg,19S03(A)KANELLE_WOMENS DRESS.jpg,19S03(A)KANELLE_WOMENS DRESS.jpg,19S03(A)KANELLE_WOMENS DRESS.jpg
KAN-AP-19S06,19S06(A)KANELLE_WOMENS DRESS.jpg,19S06(A)KANELLE_WOMENS DRESS.jpg,19S06(A)KANELLE_WOMENS DRESS.jpg,19S06(A)KANELLE_WOMENS DRESS.jpg
KAN-AP-19S13,19S13(A)KANELLE_WOMENS DRESS.jpg,19S13(A)KANELLE_WOMENS DRESS.jpg,19S13(A)KANELLE_WOMENS DRESS.jpg,19S13(A)KANELLE_WOMENS DRESS.jpg
KAN-AP-19S17,19S17(A)KANELLE_WOMENS TOP.jpg,19S17(A)KANELLE_WOMENS TOP.jpg,19S17(A)KANELLE_WOMENS TOP.jpg,19S17(A)KANELLE_WOMENS TOP.jpg
KAN-AP-19S19,19S19(B)KANELLE_WOMENS TOP.jpg,19S19(B)KANELLE_WOMENS TOP.jpg,19S19(B)KANELLE_WOMENS TOP.jpg,19S19(B)KANELLE_WOMENS TOP.jpg
KAN-AP-19S21,19S21(B)KANELLE_WOMENS SHIRT.jpg,19S21(B)KANELLE_WOMENS SHIRT.jpg,19S21(B)KANELLE_WOMENS SHIRT.jpg,19S21(B)KANELLE_WOMENS SHIRT.jpg
KAN-AP-19S23,19S23(B)KANELLE_WOMENS TOP .jpg,19S23(B)KANELLE_WOMENS TOP .jpg,19S23(B)KANELLE_WOMENS TOP .jpg,19S23(B)KANELLE_WOMENS TOP .jpg
KAN-AP-19S25,19S25(B)KANELLE_WOMENS TOP.jpg,19S25(B)KANELLE_WOMENS TOP.jpg,19S25(B)KANELLE_WOMENS TOP.jpg,19S25(B)KANELLE_WOMENS TOP.jpg
KAN-AP-19S26,19S26(C)KANELLE_WOMENS TOP.jpg,19S26(C)KANELLE_WOMENS TOP.jpg,19S26(C)KANELLE_WOMENS TOP.jpg,19S26(C)KANELLE_WOMENS TOP.jpg
KAN-AP-19S31,19S31(B)KANELLE_WOMENS JACKET.jpg,19S31(B)KANELLE_WOMENS JACKET.jpg,19S31(B)KANELLE_WOMENS JACKET.jpg,"19S31(D)KANELLE_WOMENS JACKET.jpg,19S31(B)KANELLE_WOMENS JACKET.jpg"
KAN-AP-19S36,19S36(B)KANELLE_WOMENS PANTS.jpg,19S36(B)KANELLE_WOMENS PANTS.jpg,19S36(B)KANELLE_WOMENS PANTS.jpg,19S36(B)KANELLE_WOMENS PANTS.jpg
KAN-AP-19S41,19S41(A)KANELLE_WOMENS SAREE.jpg,19S41(A)KANELLE_WOMENS SAREE.jpg,19S41(A)KANELLE_WOMENS SAREE.jpg,19S41(A)KANELLE_WOMENS SAREE.jpg
KAN-AP-19S45,19S45(A)KANELLE_WOMENS SAREE - Copy.jpg,19S45(A)KANELLE_WOMENS SAREE - Copy.jpg,19S45(A)KANELLE_WOMENS SAREE - Copy.jpg,19S45(A)KANELLE_WOMENS SAREE - Copy.jpg
KAN-AP-18S06,18S06(A)KANELLE_WOMENSTROUSERS.jpg,18S06(A)KANELLE_WOMENSTROUSERS.jpg,18S06(A)KANELLE_WOMENSTROUSERS.jpg,"18S06(D)KANELLE_WOMENSTROUSERS.jpg,18S06(C)KANELLE_WOMENSTROUSERS.jpg,18S06(B)KANELLE_WOMENSTROUSERS.jpg,18S06(A)KANELLE_WOMENSTROUSERS.jpg"
KAN-AP-18S11,18S11(A)KANELLE_WOMENSTOP.jpg,18S11(A)KANELLE_WOMENSTOP.jpg,18S11(A)KANELLE_WOMENSTOP.jpg,"18S11(D)KANELLE_WOMENSTOP.jpg,18S11(C)KANELLE_WOMENSTOP.jpg,18S11(B)KANELLE_WOMENSTOP.jpg,18S11(A)KANELLE_WOMENSTOP.jpg"
KAN-AP-18S12,18S12(A)KANELLE_WOMENSDRESS.jpg,18S12(A)KANELLE_WOMENSDRESS.jpg,18S12(A)KANELLE_WOMENSDRESS.jpg,"18S12(D)KANELLE_WOMENSDRESS.jpg,18S12(C)KANELLE_WOMENSDRESS.jpg,18S12(B)KANELLE_WOMENSDRESS.jpg,18S12(A)KANELLE_WOMENSDRESS.jpg"
KAN-AP-18S13,18S13(A)KANELLE_WOMENSTOP.jpg,18S13(A)KANELLE_WOMENSTOP.jpg,18S13(A)KANELLE_WOMENSTOP.jpg,"18S13(D)KANELLE_WOMENSTOP.jpg,18S13(C)KANELLE_WOMENSTOP.jpg,18S13(B)KANELLE_WOMENSTOP.jpg,18S13(A)KANELLE_WOMENSTOP.jpg"
KAN-AP-18S14,18S14(A)KANELLE_WOMENSTROUSERS.jpg,18S14(A)KANELLE_WOMENSTROUSERS.jpg,18S14(A)KANELLE_WOMENSTROUSERS.jpg,"18S14(D)KANELLE_WOMENSTROUSERS.jpg,18S14(C)KANELLE_WOMENSTROUSERS.jpg,18S14(B)KANELLE_WOMENSTROUSERS.jpg,18S14(A)KANELLE_WOMENSTROUSERS.jpg"
KAN-AP-18S15,18S15(A)KANELLE_WOMENSTROUSERS.jpg,18S15(A)KANELLE_WOMENSTROUSERS.jpg,18S15(A)KANELLE_WOMENSTROUSERS.jpg,"18S15(D)KANELLE_WOMENSTROUSERS.jpg,18S15(C)KANELLE_WOMENSTROUSERS.jpg,18S15(B)KANELLE_WOMENSTROUSERS.jpg,18S15(A)KANELLE_WOMENSTROUSERS.jpg"
KAN-AP-18S16,18S16(A)KANELLE_WOMENSDRESS.jpg,18S16(A)KANELLE_WOMENSDRESS.jpg,18S16(A)KANELLE_WOMENSDRESS.jpg,"18S16(D)KANELLE_WOMENSDRESS.jpg,18S16(C)KANELLE_WOMENSDRESS.jpg,18S16(B)KANELLE_WOMENSDRESS.jpg,18S16(A)KANELLE_WOMENSDRESS.jpg"
KAN-AP-18S18,18S18(A)KANELLE_WOMENSDRESS.jpg,18S18(A)KANELLE_WOMENSDRESS.jpg,18S18(A)KANELLE_WOMENSDRESS.jpg,"18S18(D)KANELLE_WOMENSDRESS.jpg,18S18(C)KANELLE_WOMENSDRESS.jpg,18S18(B)KANELLE_WOMENSDRESS.jpg,18S18(A)KANELLE_WOMENSDRESS.jpg"
KAN-AP-18S19,18S19(A)KANELLE_WOMENSTOP.jpg,18S19(A)KANELLE_WOMENSTOP.jpg,18S19(A)KANELLE_WOMENSTOP.jpg,"18S19(B)KANELLE_WOMENSTOP.jpg,18S19(A)KANELLE_WOMENSTOP.jpg"
