sku,base_image,small_image,thumbnail_image,additional_images,errors
KAN-AP-19S03,"19S03AKANELLE_WOMENS DRESS.jpg","19S03AKANELLE_WOMENS DRESS.jpg","19S03AKANELLE_WOMENS DRESS.jpg","19S03AKANELLE_WOMENS DRESS.jpg","Wrong URL/path used for attribute image,Wrong URL/path used for attribute small_image,Wrong URL/path used for attribute thumbnail,Wrong URL/path used for attribute additional_images"
KAN-AP-19S06,"19S06AKANELLE_WOMENS DRESS.jpg","19S06AKANELLE_WOMENS DRESS.jpg","19S06AKANELLE_WOMENS DRESS.jpg","19S06AKANELLE_WOMENS DRESS.jpg","Wrong URL/path used for attribute image,Wrong URL/path used for attribute small_image,Wrong URL/path used for attribute thumbnail,Wrong URL/path used for attribute additional_images"
KAN-AP-19S13,"19S13AKANELLE_WOMENS DRESS.jpg","19S13AKANELLE_WOMENS DRESS.jpg","19S13AKANELLE_WOMENS DRESS.jpg","19S13AKANELLE_WOMENS DRESS.jpg","Wrong URL/path used for attribute image,Wrong URL/path used for attribute small_image,Wrong URL/path used for attribute thumbnail,Wrong URL/path used for attribute additional_images"
KAN-AP-19S17,"19S17AKANELLE_WOMENS TOP.jpg","19S17AKANELLE_WOMENS TOP.jpg","19S17AKANELLE_WOMENS TOP.jpg","19S17AKANELLE_WOMENS TOP.jpg","Wrong URL/path used for attribute image,Wrong URL/path used for attribute small_image,Wrong URL/path used for attribute thumbnail,Wrong URL/path used for attribute additional_images"
KAN-AP-19S19,"19S19BKANELLE_WOMENS TOP.jpg","19S19BKANELLE_WOMENS TOP.jpg","19S19BKANELLE_WOMENS TOP.jpg","19S19BKANELLE_WOMENS TOP.jpg","Wrong URL/path used for attribute image,Wrong URL/path used for attribute small_image,Wrong URL/path used for attribute thumbnail,Wrong URL/path used for attribute additional_images"
KAN-AP-19S21,"19S21BKANELLE_WOMENS SHIRT.jpg","19S21BKANELLE_WOMENS SHIRT.jpg","19S21BKANELLE_WOMENS SHIRT.jpg","19S21BKANELLE_WOMENS SHIRT.jpg","Wrong URL/path used for attribute image,Wrong URL/path used for attribute small_image,Wrong URL/path used for attribute thumbnail,Wrong URL/path used for attribute additional_images"
KAN-AP-19S23,"19S23BKANELLE_WOMENS TOP .jpg","19S23BKANELLE_WOMENS TOP .jpg","19S23BKANELLE_WOMENS TOP .jpg","19S23BKANELLE_WOMENS TOP .jpg","Wrong URL/path used for attribute image,Wrong URL/path used for attribute small_image,Wrong URL/path used for attribute thumbnail,Wrong URL/path used for attribute additional_images"
KAN-AP-19S25,"19S25BKANELLE_WOMENS TOP.jpg","19S25BKANELLE_WOMENS TOP.jpg","19S25BKANELLE_WOMENS TOP.jpg","19S25BKANELLE_WOMENS TOP.jpg","Wrong URL/path used for attribute image,Wrong URL/path used for attribute small_image,Wrong URL/path used for attribute thumbnail,Wrong URL/path used for attribute additional_images"
KAN-AP-19S26,"19S26CKANELLE_WOMENS TOP.jpg","19S26CKANELLE_WOMENS TOP.jpg","19S26CKANELLE_WOMENS TOP.jpg","19S26CKANELLE_WOMENS TOP.jpg","Wrong URL/path used for attribute image,Wrong URL/path used for attribute small_image,Wrong URL/path used for attribute thumbnail,Wrong URL/path used for attribute additional_images"
KAN-AP-19S31,"19S31BKANELLE_WOMENS JACKET.jpg","19S31BKANELLE_WOMENS JACKET.jpg","19S31BKANELLE_WOMENS JACKET.jpg","19S31DKANELLE_WOMENS JACKET.jpg,19S31BKANELLE_WOMENS JACKET.jpg","Wrong URL/path used for attribute image,Wrong URL/path used for attribute small_image,Wrong URL/path used for attribute thumbnail,Wrong URL/path used for attribute additional_images"
