sku,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,display_product_options_in,map_price,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,is_in_stock,website_id,color,size
KAN-AP-17WF01_3,Default,simple,Default Category/Sale/Dresses,base,SHOW BELT SHIFT DRESS_S,"Show belt shift dress with drop shoulder chanderi sleeves and gold foil print.
 -Handwoven cotton by silk and chanderi
-Quarter Sleeves
-Slightly Oversized Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 39""/99 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",DROOP SHOULDER SHIFT DRESS WITH FOIL PRINT IN GOLD.,1,1,Taxable Goods,Not Visible Individually,9500,3800,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,S
KAN-AP-17WF01_2,Default,simple,Default Category/Sale/Dresses,base,SHOW BELT SHIFT DRESS_M,"Show belt shift dress with drop shoulder chanderi sleeves and gold foil print.
 -Handwoven cotton by silk and chanderi
-Quarter Sleeves
-Slightly Oversized Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 39""/99 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",DROOP SHOULDER SHIFT DRESS WITH FOIL PRINT IN GOLD.,1,1,Taxable Goods,Not Visible Individually,9500,3800,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",1,1,0,1,Ivory,M
KAN-AP-17WF01_1,Default,simple,Default Category/Sale/Dresses,base,SHOW BELT SHIFT DRESS_L,"Show belt shift dress with drop shoulder chanderi sleeves and gold foil print.
 -Handwoven cotton by silk and chanderi
-Quarter Sleeves
-Slightly Oversized Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 39""/99 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",DROOP SHOULDER SHIFT DRESS WITH FOIL PRINT IN GOLD.,1,1,Taxable Goods,Not Visible Individually,9500,3800,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,L
KAN-AP-17WF02_3,Default,simple,Default Category/Sale/Dresses,base,A-LINE COLOUR BLOCKED DRESS WITH KANTHA_S,"A-line colur blocked midi dress with kantha embroidery on side panels.
 -Handwoven cotton by silk and chanderi
-Quarter Sleeves
-Slightly Oversized Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 44""/112 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",COLOUR BLOCKED A-LINE MIDI DRESS WITH KANTHA EMBROIDERY ON SIDE PANELS.,1,1,Taxable Goods,Not Visible Individually,9000,3600,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Tangerine Orange,S
KAN-AP-17WF02_2,Default,simple,Default Category/Sale/Dresses,base,A-LINE COLOUR BLOCKED DRESS WITH KANTHA_M,"A-line colur blocked midi dress with kantha embroidery on side panels.
 -Handwoven cotton by silk and chanderi
-Quarter Sleeves
-Slightly Oversized Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 44""/112 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",COLOUR BLOCKED A-LINE MIDI DRESS WITH KANTHA EMBROIDERY ON SIDE PANELS.,1,1,Taxable Goods,Not Visible Individually,9000,3600,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",3,1,0,1,Tangerine Orange,M
KAN-AP-17WF02_1,Default,simple,Default Category/Sale/Dresses,base,A-LINE COLOUR BLOCKED DRESS WITH KANTHA_L,"A-line colur blocked midi dress with kantha embroidery on side panels.
 -Handwoven cotton by silk and chanderi
-Quarter Sleeves
-Slightly Oversized Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 44""/112 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",COLOUR BLOCKED A-LINE MIDI DRESS WITH KANTHA EMBROIDERY ON SIDE PANELS.,1,1,Taxable Goods,Not Visible Individually,9000,3600,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Tangerine Orange,L
KAN-AP-17WF03_3,Default,simple,Default Category/Sale/Dresses,base,FRILL DETAIL DRESS_S,"Frill detail dress with zari hand embroidery and button placket on front.
 -Handwoven cotton by silk and chanderi
-Half sleeves
-Relaxed Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 41""/104 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",SHIFT DRESS WITH FRILL DETAIL AND ZARI HAND EMBROIDERY.,1,1,Taxable Goods,Not Visible Individually,10500,4200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",1,1,0,1,Ivory,S
KAN-AP-17WF03_2,Default,simple,Default Category/Sale/Dresses,base,FRILL DETAIL DRESS_M,"Frill detail dress with zari hand embroidery and button placket on front.
 -Handwoven cotton by silk and chanderi
-Half sleeves
-Relaxed Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 41""/104 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",SHIFT DRESS WITH FRILL DETAIL AND ZARI HAND EMBROIDERY.,1,1,Taxable Goods,Not Visible Individually,10500,4200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",1,1,0,1,Ivory,M
KAN-AP-17WF03_1,Default,simple,Default Category/Sale/Dresses,base,FRILL DETAIL DRESS_L,"Frill detail dress with zari hand embroidery and button placket on front.
 -Handwoven cotton by silk and chanderi
-Half sleeves
-Relaxed Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 41""/104 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",SHIFT DRESS WITH FRILL DETAIL AND ZARI HAND EMBROIDERY.,1,1,Taxable Goods,Not Visible Individually,10500,4200,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,L
KAN-AP-17WF04_3,Default,simple,Default Category/Sale/Dresses,base,RAGLAN SLEEVE DRESS WITH SIDE GATHERS_S,"Front open raglan sleeve midi dress with hand embroidery and side gathers
 -Handwoven cotton by silk + chanderi & viscose
-Quarter Sleeves
-Relaxed Fit
-Made in India
Wash Care: This product is created with handwoven textile and is delicate so Dry Clean Only.
Model is 5'8"" and is wearing a Small size. Dress length is 45""/114 cms. 
Shipping: This product is expected to be shipped within 4-5 days.",FRONT OPEN MIDI DRESS WITH HAND EMBROIDERY AND SIDE GATHERS.,1,1,Taxable Goods,Not Visible Individually,10800,4320,Block after Info Column,,Use config,,"has_options=1,quantity_and_stock_status=In Stock,required_options=0",0,0,0,1,Ivory,S
