sku,categories,is_in_stock,errors
KAN-AP-21S02,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1,"Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S04,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1,"Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S05,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1,"Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S07,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1,"Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S09,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1,"Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S10,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1,"Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S11,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1,"Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S12,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1,"Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S14,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1,"Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S15,"Default Category/Shop/Co-Ords, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1,"Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
KAN-AP-21S16,"Default Category/Shop/Dresses, Default Category/Shop/All Clothing, Default Category/Shop/New Arrivals",1,"Category "" Default Category/Shop/All Clothing"" has not been created. URL key for specified store already exists."
