sku,status
KAN-AP-21S02,1
KAN-AP-21S04,1
KAN-AP-21S05,1
KAN-AP-21S07,1
KAN-AP-21S09,1
KAN-AP-21S10,1
KAN-AP-21S11,1
KAN-AP-21S12,1
KAN-AP-21S14,1
KAN-AP-21S15,1
KAN-AP-21S16,1
KAN-AP-21S19,1
KAN-AP-21S20,1
KAN-AP-21S21,1
KAN-AP-21S23,1
KAN-AP-21S24,1
KAN-AP-21S25,1
KAN-AP-21S26,1
KAN-AP-21S29,1
KAN-AP-21S30,1
KAN-AP-21S31,1
KAN-AP-21S34,1
KAN-AP-21S35,1
KAN-AP-21S37,1
KAN-AP-21S39,1
KAN-AP-21S42,1
KAN-AP-21S43,1
KAN-AP-21S47,1
KAN-AP-21S49,1
KAN-AP-21S50,1
KAN-AP-21S55,1
KAN-AP-21S56,1
KAN-AP-21S57,1
KAN-AP-21S59,1
KAN-AP-21S60,1
KAN-AP-21S61,1
KAN-AP-21S64,1
KAN-AP-21S65,1
