sku,base_image,small_image,thumbnail_image,additional_images
KAN-AP-18WF03,KAN-AP-18WF03-C.jpg,KAN-AP-18WF03-C.jpg,KAN-AP-18WF03-C.jpg,"KAN-AP-18WF03-A.jpg,KAN-AP-18WF03-B.jpg,KAN-AP-18WF03-C.jpg"
KAN-AP-18WF04,KAN-AP-18WF04-C.jpg,KAN-AP-18WF04-C.jpg,KAN-AP-18WF04-C.jpg,"KAN-AP-18WF04-A.jpg,KAN-AP-18WF04-B.jpg,KAN-AP-18WF04-C.jpg"
KAN-AP-18WF05,KAN-AP-18WF05-C.jpg,KAN-AP-18WF05-C.jpg,KAN-AP-18WF05-C.jpg,"KAN-AP-18WF05-A.jpg,KAN-AP-18WF05-B.jpg,KAN-AP-18WF05-C.jpg"
KAN-AP-18WF06,KAN-AP-18WF06-C.jpg,KAN-AP-18WF06-C.jpg,KAN-AP-18WF06-C.jpg,"KAN-AP-18WF06-A.jpg,KAN-AP-18WF06-B.jpg,KAN-AP-18WF06-C.jpg"
KAN-AP-18WF07,KAN-AP-18WF07-C.jpg,KAN-AP-18WF07-C.jpg,KAN-AP-18WF07-C.jpg,"KAN-AP-18WF07-A1.jpg,KAN-AP-18WF07-B.jpg,KAN-AP-18WF07-C.jpg"
KAN-AP-18WF13,KAN-AP-18WF13-C.jpg,KAN-AP-18WF13-C.jpg,KAN-AP-18WF13-C.jpg,"KAN-AP-18WF13-A.jpg,KAN-AP-18WF13-B.jpg,KAN-AP-18WF13-C.jpg"
KAN-AP-18WF15,KAN-AP-18WF15-D.jpg,KAN-AP-18WF15-D.jpg,KAN-AP-18WF15-D.jpg,"KAN-AP-18WF15-A.jpg,KAN-AP-18WF15-B.jpg,KAN-AP-18WF15-C.jpg,KAN-AP-18WF15-D.jpg"
KAN-AP-18WF16,KAN-AP-18WF16-E.jpg,KAN-AP-18WF16-E.jpg,KAN-AP-18WF16-E.jpg,"KAN-AP-18WF16-A.jpg,KAN-AP-18WF16-B.jpg,KAN-AP-18WF16-C.jpg,KAN-AP-18WF16-D.jpg,KAN-AP-18WF16-E.jpg"
KAN-AP-18WF18,KAN-AP-18WF18-C.jpg,KAN-AP-18WF18-C.jpg,KAN-AP-18WF18-C.jpg,"KAN-AP-18WF18-A1.jpg,KAN-AP-18WF18-AD.jpg,KAN-AP-18WF18-B.jpg,KAN-AP-18WF18-C.jpg"
KAN-AP-18WF19,KAN-AP-18WF19-D.jpg,KAN-AP-18WF19-D.jpg,KAN-AP-18WF19-D.jpg,"KAN-AP-18WF19-A.jpg,KAN-AP-18WF19-B.jpg,KAN-AP-18WF19-C.jpg,KAN-AP-18WF19-D.jpg"
KAN-AP-18WF20,KAN-AP-18WF20-D.jpg,KAN-AP-18WF20-D.jpg,KAN-AP-18WF20-D.jpg,"KAN-AP-18WF20-A.jpg,KAN-AP-18WF20-B.jpg,KAN-AP-18WF20-C.jpg,KAN-AP-18WF20-D.jpg"
