sku,base_image,small_image,thumbnail_image,additional_images,errors
KAN-AP-20FW10,KAN-AP-20FW010A.jpg,KAN-AP-20FW010A.jpg,KAN-AP-20FW010A.jpg,"KAN-AP-20FW010D.jpg,KAN-AP-20FW010C.jpg,KAN-AP-20FW010B.jpg,KAN-AP-20FW010A.jpg",
KAN-AP-20FW11,KAN-AP-20FW011A.jpg,KAN-AP-20FW011A.jpg,KAN-AP-20FW011A.jpg,"KAN-AP-20FW011D.jpg,KAN-AP-20FW011C.jpg,KAN-AP-20FW011B.jpg,KAN-AP-20FW011A.jpg",
KAN-AP-20FW12,KAN-AP-20FW012A.jpg,KAN-AP-20FW012A.jpg,KAN-AP-20FW012A.jpg,"KAN-AP-20FW012D.jpg,KAN-AP-20FW012C.jpg,KAN-AP-20FW012B.jpg,KAN-AP-20FW012A.jpg",
KAN-AP-20FW13,KAN-AP-20FW013A.jpg,KAN-AP-20FW013A.jpg,KAN-AP-20FW013A.jpg,"KAN-AP-20FW013D.jpg,KAN-AP-20FW013C.jpg,KAN-AP-20FW013B.jpg,KAN-AP-20FW013A.jpg",
KAN-AP-20FW14,KAN-AP-20FW014A.jpg,KAN-AP-20FW014A.jpg,KAN-AP-20FW014A.jpg,"KAN-AP-20FW014D.jpg,KAN-AP-20FW014C.jpg,KAN-AP-20FW014B.jpg,KAN-AP-20FW014A.jpg",
KAN-AP-20FW15,KAN-AP-20FW015A.jpg,KAN-AP-20FW015A.jpg,KAN-AP-20FW015A.jpg,"KAN-AP-20FW015D.jpg,KAN-AP-20FW015C.jpg,KAN-AP-20FW015B.jpg,KAN-AP-20FW015A.jpg",
KAN-AP-20FW16,KAN-AP-20FW016A.jpg,KAN-AP-20FW016A.jpg,KAN-AP-20FW016A.jpg,"KAN-AP-20FW016D.jpg,KAN-AP-20FW016C.jpg,KAN-AP-20FW016B.jpg,KAN-AP-20FW016A.jpg",
KAN-AP-20FW17,KAN-AP-20FW017A.jpg,KAN-AP-20FW017A.jpg,KAN-AP-20FW017A.jpg,"KAN-AP-20FW017D.jpg,KAN-AP-20FW017C.jpg,KAN-AP-20FW017B.jpg,KAN-AP-20FW017A.jpg",
KAN-AP-20FW18,KAN-AP-20FW018A.jpg,KAN-AP-20FW018A.jpg,KAN-AP-20FW018A.jpg,"KAN-AP-20FW018D.jpg,KAN-AP-20FW018C.jpg,KAN-AP-20FW018B.jpg,KAN-AP-20FW018A.jpg",
KAN-AP-20FW19,KAN-AP-20FW019A.jpg,KAN-AP-20FW019A.jpg,KAN-AP-20FW019A.jpg,"KAN-AP-20FW019D.jpg,KAN-AP-20FW019C.jpg,KAN-AP-20FW019B.jpg,KAN-AP-20FW019A.jpg",
KAN-AP-20FW20,KAN-AP-20FW020A.jpg,KAN-AP-20FW020A.jpg,KAN-AP-20FW020A.jpg,"KAN-AP-20FW020D.jpg,KAN-AP-20FW020C.jpg,KAN-AP-20FW020B.jpg,KAN-AP-20FW020A.jpg",
KAN-AP-20FW21,KAN-AP-20FW021A.jpg,KAN-AP-20FW021A.jpg,KAN-AP-20FW021A.jpg,"KAN-AP-20FW021D.jpg,KAN-AP-20FW021C.jpg,KAN-AP-20FW021B.jpg,KAN-AP-20FW021A.jpg",
KAN-AP-20FW22,KAN-AP-20FW022A.jpg,KAN-AP-20FW022A.jpg,KAN-AP-20FW022A.jpg,"KAN-AP-20FW022D.jpg,KAN-AP-20FW022C.jpg,KAN-AP-20FW022B.jpg,KAN-AP-20FW022A.jpg",
KAN-AP-20FW23,KAN-AP-20FW023A.jpg,KAN-AP-20FW023A.jpg,KAN-AP-20FW023A.jpg,"KAN-AP-20FW023D.jpg,KAN-AP-20FW023C.jpg,KAN-AP-20FW023B.jpg,KAN-AP-20FW023A.jpg",
KAN-AP-20FW24,KAN-AP-20FW024A.jpg,KAN-AP-20FW024A.jpg,KAN-AP-20FW024A.jpg,"KAN-AP-20FW024D.jpg,KAN-AP-20FW024C.jpg,KAN-AP-20FW024B.jpg,KAN-AP-20FW024A.jpg",
KAN-AP-20FW25,KAN-AP-20FW025A.jpg,KAN-AP-20FW025A.jpg,KAN-AP-20FW025A.jpg,"KAN-AP-20FW025D.jpg,KAN-AP-20FW025C.jpg,KAN-AP-20FW025B.jpg,KAN-AP-20FW025A.jpg",
KAN-AP-20FW26,KAN-AP-20FW026A.jpg,KAN-AP-20FW026A.jpg,KAN-AP-20FW026A.jpg,"KAN-AP-20FW026D.jpg,KAN-AP-20FW026C.jpg,KAN-AP-20FW026B.jpg,KAN-AP-20FW026A.jpg",
KAN-AP-20FW27,KAN-AP-20FW027A.jpg,KAN-AP-20FW027A.jpg,KAN-AP-20FW027A.jpg,"KAN-AP-20FW027D.jpg,KAN-AP-20FW027C.jpg,KAN-AP-20FW027B.jpg,KAN-AP-20FW027A.jpg",
KAN-AP-20FW28,KAN-AP-20FW028A.jpg,KAN-AP-20FW028A.jpg,KAN-AP-20FW028A.jpg,"KAN-AP-20FW028D.jpg,KAN-AP-20FW028C.jpg,KAN-AP-20FW028B.jpg,KAN-AP-20FW028A.jpg",
